date,entry_price,prediction,confidence,rsi,sentiment,result,exit_price,exit_date,price_change_pct,vote_details
2026-08-25,78899.05,DOWN,32.63,89.26,0.574,loss,78552.609375,2026-08-26,-0.44,LGBM:33.6% | RF:51.0% | LR:46.0% | MLP:0.0%
2026-08-26,78552.61,DOWN,30.11,88.37,0.007,loss,79942.1015625,2026-08-27,1.77,LGBM:27.8% | RF:48.0% | LR:44.6% | MLP:0.0%
2026-08-27,79942.1,DOWN,31.82,89.18,-0.332,win,77391.09375,2026-08-28,-3.19,LGBM:43.6% | RF:40.0% | LR:43.6% | MLP:0.0%
2026-08-28,77391.09,UP,53.16,80.21,0.654,win,78053.0625,2026-08-29,0.86,LGBM:95.2% | RF:69.0% | LR:48.4% | MLP:0.0%
2026-08-29,78053.06,DOWN,47.8,82.49,0.566,loss,78846.5,2026-08-30,1.02,LGBM:86.8% | RF:61.0% | LR:43.5% | MLP:0.0%
2026-08-30,78846.5,DOWN,21.46,82.44,0.219,pending,,,,LGBM:11.7% | RF:34.0% | LR:40.1% | MLP:0.0%
